Episode 81 	 Cost: 29.3994 	 Latency: 2.5582s 	 Energy: 0.3356J 	 Load: 2.3% 	 Act:[Loc:0% MEC:18% Rem:26% Cld:56%]
Episode 82 	 Cost: 42.8478 	 Latency: 3.4731s 	 Energy: 0.3234J 	 Load: 2.7% 	 Act:[Loc:0% MEC:19% Rem:26% Cld:55%]
Episode 83 	 Cost: 44.1570 	 Latency: 3.5705s 	 Energy: 0.3501J 	 Load: 0.0% 	 Act:[Loc:0% MEC:18% Rem:26% Cld:56%]
Episode 84 	 Cost: 51.4817 	 Latency: 4.0171s 	 Energy: 0.4504J 	 Load: 0.0% 	 Act:[Loc:0% MEC:18% Rem:15% Cld:66%]
Episode 85 	 Cost: 30.8249 	 Latency: 2.6797s 	 Energy: 0.2241J 	 Load: 1.9% 	 Act:[Loc:0% MEC:19% Rem:23% Cld:57%]
Episode 86 	 Cost: 47.3375 	 Latency: 3.7451s 	 Energy: 0.4239J 	 Load: 1.5% 	 Act:[Loc:0% MEC:17% Rem:28% Cld:54%]
Episode 87 	 Cost: 35.3527 	 Latency: 2.9565s 	 Energy: 0.3190J 	 Load: 1.6% 	 Act:[Loc:0% MEC:18% Rem:24% Cld:57%]
Episode 88 	 Cost: 28.4382 	 Latency: 2.5181s 	 Energy: 0.1790J 	 Load: 1.5% 	 Act:[Loc:0% MEC:18% Rem:24% Cld:58%]
Episode 89 	 Cost: 34.1753 	 Latency: 2.8716s 	 Energy: 0.2753J 	 Load: 2.1% 	 Act:[Loc:0% MEC:18% Rem:31% Cld:51%]
Episode 90 	 Cost: 43.3841 	 Latency: 3.5021s 	 Energy: 0.2622J 	 Load: 0.0% 	 Act:[Loc:0% MEC:18% Rem:34% Cld:48%]
Episode 91 	 Cost: 37.1534 	 Latency: 3.0855s 	 Energy: 0.2530J 	 Load: 2.3% 	 Act:[Loc:0% MEC:18% Rem:15% Cld:66%]
Episode 92 	 Cost: 42.3885 	 Latency: 3.4039s 	 Energy: 0.3084J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:16% Cld:66%]
Episode 93 	 Cost: 43.6216 	 Latency: 3.5152s 	 Energy: 0.3191J 	 Load: 2.7% 	 Act:[Loc:0% MEC:19% Rem:14% Cld:67%]
Episode 94 	 Cost: 42.4253 	 Latency: 3.4223s 	 Energy: 0.3123J 	 Load: 1.3% 	 Act:[Loc:0% MEC:18% Rem:21% Cld:61%]
Episode 95 	 Cost: 19.8796 	 Latency: 1.9622s 	 Energy: 0.1419J 	 Load: 2.1% 	 Act:[Loc:0% MEC:20% Rem:18% Cld:62%]
Episode 96 	 Cost: 39.1244 	 Latency: 3.2013s 	 Energy: 0.3574J 	 Load: 1.0% 	 Act:[Loc:0% MEC:19% Rem:25% Cld:56%]
Episode 97 	 Cost: 39.8040 	 Latency: 3.2630s 	 Energy: 0.3031J 	 Load: 0.0% 	 Act:[Loc:0% MEC:19% Rem:21% Cld:60%]
Episode 98 	 Cost: 42.3730 	 Latency: 3.4327s 	 Energy: 0.2838J 	 Load: 0.0% 	 Act:[Loc:0% MEC:18% Rem:16% Cld:66%]
Episode 99 	 Cost: 31.4036 	 Latency: 2.7045s 	 Energy: 0.2595J 	 Load: 0.4% 	 Act:[Loc:0% MEC:19% Rem:14% Cld:66%]
Episode 100 	 Cost: 50.8132 	 Latency: 3.9742s 	 Energy: 0.4149J 	 Load: 0.9% 	 Act:[Loc:0% MEC:19% Rem:14% Cld:67%]
Episode 101 	 Cost: 49.1681 	 Latency: 3.8757s 	 Energy: 0.4008J 	 Load: 0.6% 	 Act:[Loc:0% MEC:19% Rem:23% Cld:58%]
Episode 102 	 Cost: 47.9972 	 Latency: 3.7769s 	 Energy: 0.3857J 	 Load: 2.4% 	 Act:[Loc:0% MEC:19% Rem:18% Cld:63%]
Episode 103 	 Cost: 57.3548 	 Latency: 4.4200s 	 Energy: 0.4205J 	 Load: 0.9% 	 Act:[Loc:0% MEC:18% Rem:15% Cld:66%]
Episode 104 	 Cost: 31.4190 	 Latency: 2.7209s 	 Energy: 0.3723J 	 Load: 3.1% 	 Act:[Loc:0% MEC:18% Rem:19% Cld:63%]
Episode 105 	 Cost: 41.8923 	 Latency: 3.4054s 	 Energy: 0.3089J 	 Load: 1.3% 	 Act:[Loc:0% MEC:19% Rem:22% Cld:59%]
Episode 106 	 Cost: 35.9477 	 Latency: 3.0171s 	 Energy: 0.1814J 	 Load: 0.5% 	 Act:[Loc:0% MEC:19% Rem:23% Cld:58%]
Episode 107 	 Cost: 33.3355 	 Latency: 2.8523s 	 Energy: 0.2760J 	 Load: 1.3% 	 Act:[Loc:0% MEC:17% Rem:17% Cld:65%]
Episode 108 	 Cost: 49.9650 	 Latency: 3.9262s 	 Energy: 0.4428J 	 Load: 0.0% 	 Act:[Loc:0% MEC:19% Rem:26% Cld:55%]
Episode 109 	 Cost: 40.0854 	 Latency: 3.2683s 	 Energy: 0.2519J 	 Load: 0.6% 	 Act:[Loc:0% MEC:18% Rem:28% Cld:54%]
Episode 110 	 Cost: 39.2127 	 Latency: 3.2194s 	 Energy: 0.3782J 	 Load: 2.5% 	 Act:[Loc:0% MEC:20% Rem:23% Cld:57%]
Episode 111 	 Cost: 45.6269 	 Latency: 3.6339s 	 Energy: 0.3853J 	 Load: 0.8% 	 Act:[Loc:0% MEC:18% Rem:20% Cld:61%]
Episode 112 	 Cost: 38.4632 	 Latency: 3.1760s 	 Energy: 0.3478J 	 Load: 2.9% 	 Act:[Loc:0% MEC:20% Rem:14% Cld:66%]
